key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,6314000000,-6,,Prior3YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,6900000000,-6,,Prior2YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,3138000000,-6,,Prior1YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,6953000000,-6,,CurrentYearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,53902000000,-6,,Prior4YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,59895000000,-6,,Prior3YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,66046000000,-6,,Prior2YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,67996000000,-6,,Prior1YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,73718000000,-6,,CurrentYearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,85825000000,-6,,Prior4YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,92888000000,-6,,Prior3YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,103421000000,-6,,Prior2YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,111182000000,-6,,Prior1YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,120510000000,-6,,CurrentYearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,2508.48,2,,Prior4YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,2761.24,2,,Prior3YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,3007.78,2,,Prior2YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
