key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,2544000000,-6,,CurrentYearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,12297000000,-6,,Prior5YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2019-07-01,2019-07-01,,2019-06-30,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,12693000000,-6,,Prior4YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-07-01,2020-07-01,,2020-06-30,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,13646000000,-6,,Prior3YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-07-01,2021-07-01,,2021-06-30,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,14227000000,-6,,Prior2YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,15194000000,-6,,Prior1YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,17368000000,-6,,CurrentYearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,22532000000,-6,,Prior5YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2019-07-01,2019-07-01,,2019-06-30,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,22868000000,-6,,Prior4YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-07-01,2020-07-01,,2020-06-30,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,26867000000,-6,,Prior3YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-07-01,2021-07-01,,2021-06-30,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,27093000000,-6,,Prior2YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,29576000000,-6,,Prior1YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,36399000000,-6,,CurrentYearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,1142.33,2,,Prior5YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2019-07-01,2019-07-01,,2019-06-30,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,1177.80,2,,Prior4YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2020-07-01,2020-07-01,,2020-06-30,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,1268.18,2,,Prior3YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2021-07-01,2021-07-01,,2021-06-30,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,1315.04,2,,Prior2YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,1410.59,2,,Prior1YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,1603.62,2,,CurrentYearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,34.52,2,,Prior5YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2018-07-01,2019-07-01,,2019-06-30,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,60.36,2,,Prior4YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2019-07-01,2020-07-01,,2020-06-30,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,108.84,2,,Prior3YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2020-07-01,2021-07-01,,2021-06-30,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,71.12,2,,Prior2YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2021-07-01,2022-04-01,,2022-03-31,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,109.20,2,,Prior1YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,207.02,2,,CurrentYearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,,,,Prior5YearDuration,DilutedEarningsPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2018-07-01,2019-07-01,,2019-06-30,,
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,,,,Prior4YearDuration,DilutedEarningsPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2019-07-01,2020-07-01,,2020-06-30,,
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,,,,Prior3YearDuration,DilutedEarningsPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2020-07-01,2021-07-01,,2021-06-30,,
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,,,,Prior2YearDuration,DilutedEarningsPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2021-07-01,2022-04-01,,2022-03-31,,
