key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpdei_cor:NumberOfSubmissionDEI,1,0,,FilingDateInstant,NumberOfSubmissionDEI,pure,instant,0,0,,2024-06-22,2024-06-22,,2024-06-21,
jpcrp_cor:NetSalesSummaryOfBusinessResults,215050000000,-6,,Prior4YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,214120000000,-6,,Prior3YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,243202000000,-6,,Prior2YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,307911000000,-6,,Prior1YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,313875000000,-6,,CurrentYearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,5737000000,-6,,Prior4YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,6081000000,-6,,Prior3YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,5067000000,-6,,Prior2YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1711000000,-6,,Prior1YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,7737000000,-6,,CurrentYearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
