key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpcrp_cor:NetAssetsSummaryOfBusinessResults,111743316000,-3,,Prior1YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,120279238000,-3,,CurrentYearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,104489877000,-3,,Prior4YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,111681238000,-3,,Prior3YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,119964026000,-3,,Prior2YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,126262252000,-3,,Prior1YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,136597269000,-3,,CurrentYearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,2917.83,2,,Prior4YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,3086.18,2,,Prior3YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,3312.02,2,,Prior2YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,3477.73,2,,Prior1YearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,3741.92,2,,CurrentYearInstant,NetAssetsPerShareSummaryOfBusinessResults,JPYPerShares,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,263.21,2,,Prior4YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,228.70,2,,Prior3YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,242.10,2,,Prior2YearDuration,BasicEarningsLossPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
